Phone Model,Operating System,Features,Brand,Warranty Period,Network Connections,Storage Capacity,Color Family,Memory RAM,Camera,Phone Screen Size
0.json,6,-1,38,-1,0,17,2,5,1,4
0.json,6,-1,38,-1,0,17,8,5,1,4
0.json,6,-1,38,-1,0,17,9,5,1,4
0.json,6,-1,38,-1,0,17,10,5,1,4
0.json,6,-1,38,-1,0,17,12,5,1,4
0.json,6,-1,38,-1,0,12,2,5,1,4
0.json,6,-1,38,-1,0,12,8,5,1,4
0.json,6,-1,38,-1,0,12,9,5,1,4
0.json,6,-1,38,-1,0,12,10,5,1,4
0.json,6,-1,38,-1,0,12,12,5,1,4
1041.json,-1,-1,-1,-1,-1,-1,8,-1,-1,2
1041.json,-1,-1,-1,-1,-1,-1,10,-1,-1,2
111.json,6,-1,52,-1,-1,17,0,6,1,2
111.json,6,-1,52,-1,-1,17,0,6,9,2
111.json,6,-1,52,-1,-1,17,2,6,1,2
111.json,6,-1,52,-1,-1,17,2,6,9,2
111.json,6,-1,52,-1,-1,17,8,6,1,2
111.json,6,-1,52,-1,-1,17,8,6,9,2
111.json,6,-1,52,-1,-1,17,9,6,1,2
111.json,6,-1,52,-1,-1,17,9,6,9,2
111.json,6,-1,52,-1,-1,17,10,6,1,2
111.json,6,-1,52,-1,-1,17,10,6,9,2
111.json,6,-1,52,-1,-1,17,12,6,1,2
111.json,6,-1,52,-1,-1,17,12,6,9,2
111.json,6,-1,52,-1,-1,17,17,6,1,2
111.json,6,-1,52,-1,-1,17,17,6,9,2
111.json,6,-1,52,-1,-1,17,20,6,1,2
111.json,6,-1,52,-1,-1,17,20,6,9,2
111.json,6,-1,52,-1,-1,12,0,6,1,2
111.json,6,-1,52,-1,-1,12,0,6,9,2
111.json,6,-1,52,-1,-1,12,2,6,1,2
111.json,6,-1,52,-1,-1,12,2,6,9,2
111.json,6,-1,52,-1,-1,12,8,6,1,2
111.json,6,-1,52,-1,-1,12,8,6,9,2
111.json,6,-1,52,-1,-1,12,9,6,1,2
111.json,6,-1,52,-1,-1,12,9,6,9,2
111.json,6,-1,52,-1,-1,12,10,6,1,2
111.json,6,-1,52,-1,-1,12,10,6,9,2
111.json,6,-1,52,-1,-1,12,12,6,1,2
111.json,6,-1,52,-1,-1,12,12,6,9,2
111.json,6,-1,52,-1,-1,12,17,6,1,2
111.json,6,-1,52,-1,-1,12,17,6,9,2
111.json,6,-1,52,-1,-1,12,20,6,1,2
111.json,6,-1,52,-1,-1,12,20,6,9,2
1125.json,6,-1,43,-1,0,17,8,-1,-1,4
1125.json,6,-1,43,-1,0,17,10,-1,-1,4
113.json,1,-1,2,-1,-1,12,-1,6,6,2
1134.json,3,-1,41,-1,-1,-1,8,-1,-1,2
1134.json,3,-1,41,-1,-1,-1,10,-1,-1,2
1134.json,3,-1,41,-1,-1,-1,19,-1,-1,2
1142.json,6,-1,43,-1,1,3,3,-1,6,2
1142.json,6,-1,43,-1,1,3,4,-1,6,2
1142.json,6,-1,43,-1,1,3,5,-1,6,2
1142.json,6,-1,43,-1,1,3,8,-1,6,2
1142.json,6,-1,43,-1,1,3,9,-1,6,2
1142.json,6,-1,43,-1,1,3,10,-1,6,2
1142.json,6,-1,43,-1,1,3,12,-1,6,2
1142.json,6,-1,43,-1,1,3,15,-1,6,2
1142.json,6,-1,43,-1,1,12,3,-1,6,2
1142.json,6,-1,43,-1,1,12,4,-1,6,2
1142.json,6,-1,43,-1,1,12,5,-1,6,2
1142.json,6,-1,43,-1,1,12,8,-1,6,2
1142.json,6,-1,43,-1,1,12,9,-1,6,2
1142.json,6,-1,43,-1,1,12,10,-1,6,2
1142.json,6,-1,43,-1,1,12,12,-1,6,2
1142.json,6,-1,43,-1,1,12,15,-1,6,2
1144.json,6,-1,-1,-1,-1,5,8,5,6,2
1144.json,6,-1,-1,-1,-1,5,9,5,6,2
1144.json,6,-1,-1,-1,-1,5,10,5,6,2
1144.json,6,-1,-1,-1,-1,5,12,5,6,2
1144.json,6,-1,-1,-1,-1,6,8,5,6,2
1144.json,6,-1,-1,-1,-1,6,9,5,6,2
1144.json,6,-1,-1,-1,-1,6,10,5,6,2
1144.json,6,-1,-1,-1,-1,6,12,5,6,2
1144.json,6,-1,-1,-1,-1,7,8,5,6,2
1144.json,6,-1,-1,-1,-1,7,9,5,6,2
1144.json,6,-1,-1,-1,-1,7,10,5,6,2
1144.json,6,-1,-1,-1,-1,7,12,5,6,2
1144.json,6,-1,-1,-1,-1,8,8,5,6,2
1144.json,6,-1,-1,-1,-1,8,9,5,6,2
1144.json,6,-1,-1,-1,-1,8,10,5,6,2
1144.json,6,-1,-1,-1,-1,8,12,5,6,2
1144.json,6,-1,-1,-1,-1,9,8,5,6,2
1144.json,6,-1,-1,-1,-1,9,9,5,6,2
1144.json,6,-1,-1,-1,-1,9,10,5,6,2
1144.json,6,-1,-1,-1,-1,9,12,5,6,2
1144.json,6,-1,-1,-1,-1,12,8,5,6,2
1144.json,6,-1,-1,-1,-1,12,9,5,6,2
1144.json,6,-1,-1,-1,-1,12,10,5,6,2
1144.json,6,-1,-1,-1,-1,12,12,5,6,2
1144.json,6,-1,-1,-1,-1,15,8,5,6,2
1144.json,6,-1,-1,-1,-1,15,9,5,6,2
1144.json,6,-1,-1,-1,-1,15,10,5,6,2
1144.json,6,-1,-1,-1,-1,15,12,5,6,2
1145.json,1,-1,2,-1,-1,5,-1,-1,-1,-1
1145.json,1,-1,2,-1,-1,6,-1,-1,-1,-1
1145.json,1,-1,2,-1,-1,7,-1,-1,-1,-1
1145.json,1,-1,2,-1,-1,8,-1,-1,-1,-1
1145.json,1,-1,2,-1,-1,9,-1,-1,-1,-1
1145.json,1,-1,2,-1,-1,15,-1,-1,-1,-1
1147.json,1,-1,2,-1,-1,17,-1,-1,-1,-1
1148.json,1,-1,2,-1,-1,3,8,1,1,2
1148.json,1,-1,2,-1,-1,3,10,1,1,2
1148.json,1,-1,2,-1,-1,3,20,1,1,2
1148.json,1,-1,2,-1,-1,5,8,1,1,2
1148.json,1,-1,2,-1,-1,5,10,1,1,2
1148.json,1,-1,2,-1,-1,5,20,1,1,2
1148.json,1,-1,2,-1,-1,6,8,1,1,2
1148.json,1,-1,2,-1,-1,6,10,1,1,2
1148.json,1,-1,2,-1,-1,6,20,1,1,2
1148.json,1,-1,2,-1,-1,7,8,1,1,2
1148.json,1,-1,2,-1,-1,7,10,1,1,2
1148.json,1,-1,2,-1,-1,7,20,1,1,2
1148.json,1,-1,2,-1,-1,8,8,1,1,2
1148.json,1,-1,2,-1,-1,8,10,1,1,2
1148.json,1,-1,2,-1,-1,8,20,1,1,2
1148.json,1,-1,2,-1,-1,9,8,1,1,2
1148.json,1,-1,2,-1,-1,9,10,1,1,2
1148.json,1,-1,2,-1,-1,9,20,1,1,2
1148.json,1,-1,2,-1,-1,15,8,1,1,2
1148.json,1,-1,2,-1,-1,15,10,1,1,2
1148.json,1,-1,2,-1,-1,15,20,1,1,2
1148.json,1,-1,2,-1,-1,16,8,1,1,2
1148.json,1,-1,2,-1,-1,16,10,1,1,2
